datetime,close_spy,close_qqq
2015-01-02 06:00:00,205.43,102.94
2015-01-05 06:00:00,201.72,101.43
2015-01-06 06:00:00,199.82,100.07
2015-01-07 06:00:00,202.31,101.36
2015-01-08 06:00:00,205.9,103.3
2015-01-09 06:00:00,204.25,102.62
2015-01-12 06:00:00,202.65,101.55
2015-01-13 06:00:00,202.08,101.52
2015-01-14 06:00:00,200.86,100.96
2015-01-15 06:00:00,199.0199,99.65
2015-01-16 06:00:00,201.63,100.82
2015-01-20 06:00:00,202.055,101.62
2015-01-21 06:00:00,203.08,102.14
2015-01-22 06:00:00,206.1,104.03
2015-01-23 06:00:00,204.97,104.26
2015-01-26 06:00:00,205.45,104.14
2015-01-27 06:00:00,202.74,101.44
2015-01-28 06:00:00,200.14,100.92
2015-01-29 06:00:00,201.9902,101.89
2015-01-30 06:00:00,199.45,101.1
2015-02-02 06:00:00,201.92,101.98
2015-02-03 06:00:00,204.84,102.96
2015-02-04 06:00:00,204.06,102.87
2015-02-05 06:00:00,206.12,103.76
2015-02-06 06:00:00,205.55,103.13
2015-02-09 06:00:00,204.63,102.8
2015-02-10 06:00:00,206.81,104.4
2015-02-11 06:00:00,206.93,104.78
2015-02-12 06:00:00,208.92,106.0
2015-02-13 06:00:00,209.78,106.91
2015-02-17 06:00:00,210.11,107.01
2015-02-18 06:00:00,210.13,107.16
2015-02-19 06:00:00,209.98,107.69
2015-02-20 06:00:00,211.239,108.41
2015-02-23 06:00:00,211.209,108.52
2015-02-24 06:00:00,211.81,108.6
2015-02-25 06:00:00,211.63,108.33
2015-02-26 06:00:00,211.38,108.88
2015-02-27 06:00:00,210.66,108.4
2015-03-02 06:00:00,211.99,109.38
2015-03-03 06:00:00,211.12,108.87
2015-03-04 06:00:00,210.2301,108.45
2015-03-05 06:00:00,210.46,108.64
2015-03-06 06:00:00,207.5,107.41
2015-03-09 05:00:00,208.36,107.72
2015-03-10 05:00:00,204.98,105.72
2015-03-11 05:00:00,204.5,105.11
2015-03-12 05:00:00,207.1,105.8
2015-03-13 05:00:00,205.8272,105.34
2015-03-16 05:00:00,208.58,106.7
2015-03-17 05:00:00,207.96,106.87
2015-03-18 05:00:00,210.46,107.92
2015-03-19 05:00:00,209.5,108.08
2015-03-20 05:00:00,210.41,108.53
2015-03-23 05:00:00,210.0,108.32
